ENA.genome.ID_scholz;Genomes.list;Genome.ID;Genome.Name;NCBI.Taxon.ID;Genome.Status;Strain;Host.Name;R_Phenotype;Phenotype;Completion.Date;BioProject.Accession;BioSample.Accession;Assembly.Accession;GenBank.Accessions;Sequencing.Centers;Contigs;Genome.Length;GC.Content;PATRIC.CDS;Comments;Additional.Metadata;Coarse.Consistency;Fine.Consistency;Genome.Quality.Flags;Genome.Quality;Date.Inserted;Date.Modified;Host.species_scholz;Common.name_scholz;Supergroup_scholz
GCA_000338395;GCA_000338395.1_ASM33839v1_genomic;96496,5;Wolbachia endosymbiont of Wuchereria bancrofti;96496;WGS;;Nematode, Wuchereria bancrofti;;;2013-02-07T00:00:00Z;PRJNA43539;SAMN02595378;GCA_000338395.1;ADHD00000000;Broad Institute;763;1052327;34;1508;"Wolbachia endosymbiont of Wuchereria bancrofti Genome sequencing;low contig N50";;92,1;84,2;"Abnormal CDS ratio;Low contig N50";Poor;2014-12-08T22:13:49.275Z;2015-03-16T03:17:09.594Z;;;
GCA_000530755;GCA_000530755.1_W_O_volvulus_Cameroon_v3_genomic;1410384,5;Wolbachia endosymbiont of Onchocerca volvulus str. Cameroon;1410384;Complete;Cameroon;;;;2014-01-23T00:00:00Z;PRJEB4840;SAMEA3138891;GCA_000530755.1;HG810405.1;SC;1;960618;32,1;886;Despite their importance globally, both medically and economically, parasitic helminth (worm) research has remained relatively untouched by genomics. Worm infections account for morbidity equivalent to more than 100 million disability adjusted life years from more than one billion infections globally. The 50 Helminth Genomes Initiative is collaborative project that aims to survey the genomes of nematodes and platyhelminths that are either of medical or veterinary importance, or as used as models for those. It will include all the neglected metazoan parasites. Preliminary illumina sequencing from these helminth species will be used to produce draft genomic assemblies which will create a unique genomic resource. Draft assemblies of the genomes will underpin research and progress into these neglected diseases. Gene and protein predictions will provide a resource that can be mined by researchers for diagnostic markers, new drug targets or vaccines. Comparing the genomes will yield evolutionary insights and will enable more to be learnt about the genomic basis for the huge differences in the biology of these parasites and the diseases they cause.;;98;97,7;;Good;2014-12-08T22:43:35.442Z;2015-03-16T03:17:09.594Z;;;
GCA_000829315;GCA_000829315.1_ASM82931v1_genomic;246273,3;Wolbachia endosymbiont of Cimex lectularius wCle;246273;Complete;wCle;Cimex lectularius JESC;;;2014-06-10T00:00:00Z;PRJDB748;-;GCA_000829315.1;AP013028.1;The Open University of Japan;1;1250060;36,25;1461;Transition from parasitism to mutualism must have occurred in diverse symbiotic associations, whose mechanism is of evolutionary interest. Wolbachia endosymbionts are ubiquitously found among insects, and generally regarded as their facultative and parasitic associates. In the bedbug Cimex lectularius, however, a Wolbachia strain wCle provides the host with B vitamins deficient in blood meal, thereby establishing an obligate nutritional mutualism.;;99;98,4;;Good;2015-03-12T13:49:04.274Z;2015-03-16T03:17:09.594Z;;;
GCA_000832695;GCA_000832695.1_ASM83269v1_genomic;1605993,4;Wolbachia endosymbiont of Dactylopius coccus wCoc1;1605993;WGS;wCoc1;Dactylopius coccus;;;2015-02-05T00:00:00Z;PRJNA244295;SAMN02725058;GCA_000832695.1;JMCJ00000000;Harvard University;1064;1124974;34,27;941;"Phylogeographic analysis of Mexican and Peruvian cochineal isolates. We also characterised the Wolbachia endosymbiont for Dactylopius coccus since Wolbachia sometimes provides phylogeographic information.;low contig N50";;94,4;88,5;"Too many contigs;Low contig N50";Poor;2015-03-12T13:48:08.805Z;2015-03-16T03:17:09.594Z;;;
GCA_001266585;GCA_001266585.1_ASM126658v1_genomic;1620420,3;Wolbachia endosymbiont of Operophtera brumata strain Ob_Wba;1620420;WGS;Ob_Wba;Winter moth, Operophtera brumata;;;2015-08-11T00:00:00Z;PRJNA276497;SAMN03375746;GCF_001266585.1;JYPC01000000;Wageningen University;120;1121046;33,8;1175;Whole genome sequencing of Wolbachia endosymbiont of Operophtera brumata;sample_type:whole organism;98,9;98,2;;Good;2016-01-17T17:02:27.164Z;2016-01-17T17:02:27.164Z;;;
GCA_001648015;GCA_001648015.1_ASM164801v1_genomic;1605993,5;Wolbachia endosymbiont of Dactylopius coccus strain wDacB;1605993;WGS;wDacB;Scale insect, Dactylopius coccus;;;2016-05-19T00:00:00Z;PRJNA274698;SAMN03330029;GCF_001648015.1;LSYY00000000;Universidad Nacional Autonoma de Mexico;198;1497749;34,04;1861;The cochineal insect Dactylopius coccus is the source of the carminic acid dye used worldwide. The microbiome of D. coccus has been poorly studied. Using a metagenomic approach, the Wolbachia strain wDacB, belonging to supergroup B, was identified among the microbiota inhabiting D. coccus in Mexico. The genome sequence of wDacB was sequenced and analyzed.;sample_type:Tissue sample;99,4;95,4;;Good;2016-07-05T07:24:37.254Z;2016-07-05T07:24:37.254Z;;;
GCA_001648025;GCA_001648025.1_ASM164802v1_genomic;1605993,6;Wolbachia endosymbiont of Dactylopius coccus strain wDacA;1605993;WGS;wDacA;Scale insect, Dactylopius coccus;;;2016-05-19T00:00:00Z;PRJNA274701;SAMN03330030;GCF_001648025.1;LSYX00000000;Universidad Nacional Autonoma de Mexico;157;1170639;35,14;1435;The cochineal insect Dactylopius coccus is the source of the carminic acid dye used worldwide. The microbiome of D. coccus has been poorly studied. Using a metagenomic approach, the Wolbachia strain wDacA, belonging to supergroup A, was identified among the microbiota inhabiting D. coccus in Mexico. The genome sequence of wDacA was sequenced and analyzed.;sample_type:Tissue sample;99,4;98,5;;Good;2016-07-05T07:27:14.141Z;2016-07-05T07:27:14.141Z;;;
GCA_001675695;GCA_001675695.1_ASM167569v1_genomic;1854759,5;Wolbachia endosymbiont of Nomada flava strain wNfla;1854759;WGS;wNfla;Nomada flava;;;2016-06-23T00:00:00Z;PRJNA322628;SAMN05171506;GCA_001675695.1;LYUW01000000;University of Liverpool;167;1332780;35,186604;1520;Four Wolbachia genomes from closely related bee hosts were sequenced via Illumina.;sample_type:whole organism;99,6;99,3;;Good;2019-09-29T18:07:57.775Z;2019-09-29T18:07:57.775Z;;;
GCA_001675715;GCA_001675715.1_ASM167571v1_genomic;1854758,5;Wolbachia endosymbiont of Nomada leucophthalma strain wNleu;1854758;WGS;wNleu;Nomada leucophthalma;;;2016-06-23T00:00:00Z;PRJNA322628;SAMN05171505;GCA_001675715.1;LYUV01000000;University of Liverpool;182;1366719;35,17314;1578;Four Wolbachia genomes from closely related bee hosts were sequenced via Illumina.;sample_type:whole organism;99,6;99,3;;Good;2019-09-29T18:07:51.244Z;2019-09-29T18:07:51.244Z;;;
GCA_001675775;GCA_001675775.1_ASM167577v1_genomic;1854760,4;Wolbachia endosymbiont of Nomada panzeri strain wNpa;1854760;WGS;wNpa;Nomada panzeri;;;2016-06-23T00:00:00Z;PRJNA322628;SAMN05171517;GCA_001675775.1;LYUX01000000;University of Liverpool;191;1344355;35,19502;1547;Four Wolbachia genomes from closely related bee hosts were sequenced via Illumina.;sample_type:whole organism;99,6;98,7;;Good;2019-09-29T18:07:58.897Z;2019-09-29T18:07:58.897Z;;;
GCA_001675785;GCA_001675785.1_ASM167578v1_genomic;1854761,5;Wolbachia endosymbiont of Nomada ferruginata strain wNfe;1854761;WGS;wNfe;Nomada ferruginata;;;2016-06-23T00:00:00Z;PRJNA322628;SAMN05171518;GCA_001675785.1;LYUY01000000;University of Liverpool;231;1337641;35,22175;1570;Four Wolbachia genomes from closely related bee hosts were sequenced via Illumina.;sample_type:whole organism;99,4;97,8;;Good;2019-09-29T18:08:35.058Z;2019-09-29T18:08:35.058Z;;;
GCA_001752665;GCA_001752665.1_ASM175266v1_genomic;955,26;Wolbachia pipientis strain wPpe;955;WGS;wPpe;Nematode, Pratylenchus penetrans;;;2016-10-05T00:00:00Z;PRJNA343941;SAMN05806092;GCF_001752665.1;MJMG00000000;Oregon State University;12;975127;32,11;1030;Illumina MiSeq whole genome sequencing of Wolbachia endosymbiont from the plant-parasitic nematode Pratylenchus penetrans.;sample_type:whole organism;96,9;95,6;;Good;2016-11-16T22:54:35.865Z;2016-11-16T22:54:35.865Z;;;
GCA_001758565;GCA_001758565.1_ASM175856v1_genomic;1633785,3;Wolbachia endosymbiont of Drosophila incompta strain wInc_Cu;1633785;Complete;wInc_Cu;Fly, Drosophila incompta;;;2016-10-11T00:00:00Z;PRJNA279175;SAMN03437828;GCF_001758565.1;CP011148;Universidade Federal do Pampa;1;1267840;34,01;1487;Wolbachia infecting Drosophila incompta species genome sequencing project;sample_type:whole organism;99,5;98,3;;Good;2016-11-17T03:13:33.874Z;2016-11-17T03:13:33.874Z;;;
GCA_001758585;GCA_001758585.1_ASM175858v1_genomic;1633785,4;Wolbachia endosymbiont of Drosophila incompta strain wInc_SM;1633785;Complete;wInc_SM;Fly, Drosophila incompta;;;2016-10-11T00:00:00Z;PRJNA279175;SAMN03445735;GCA_001758585.1;CP011149;Universidade Federal do Pampa;1;1267664;31,81;1720;"Wolbachia infecting Drosophila incompta species genome sequencing project;low contig N50;low quality sequence;validation errors";sample_type:whole organism;98,2;96;;Good;2016-11-17T03:16:05.698Z;2016-11-17T03:16:05.698Z;;;
GCA_002204235;GCA_002204235.2_ASM220423v2_genomic;96496,8;Wolbachia endosymbiont of Wuchereria bancrofti strain wWb;96496;WGS;wWb;Wuchereria bancrofti;;;2017-07-07T00:00:00Z;PRJNA388334;SAMN07236930;GCA_002204235.2;NJBR00000000;University of Maryland Baltimore;100;1060850;34,33;1408;wWb reads originating from the whole genome sequencing of Wuchereria bancrofti.;collected_by:Christopher King;99,5;98,2;;Good;2017-07-22T23:03:47.418Z;2017-07-22T23:03:47.418Z;;;
GCA_003516275;GCA_003516275.1_ASM351627v1_genomic;956,12;Wolbachia sp. strain UBA8879;956;WGS;UBA8879;;;;1900-01-01T00:00:00Z;PRJNA417962;SAMN08019566;GCA_003516275.1;DPCO01000000;University of Queensland;117;668079;33,85032;697;"Collection of 3,087 bacterial metagenome-assembled genomes (MAGs) recovered from metagenomes available from the Sequence Read Archive. These MAGs comprise part of the data set used to define a standardised bacterial taxonomy based on a concatenated protein phylogeny that conservatively removes polyphyletic groups and normalises ranks based on relative evolutionary divergence.;derived from metagenome";sample_type:metagenomic assembly;88,2;87,4;;Good;2018-10-03T01:25:49.735Z;2018-10-03T01:25:49.735Z;;;
GCA_003704235;GCA_003704235.1_ASM370423v1_genomic;197748,3;Wolbachia endosymbiont of Formica exsecta strain mixed;197748;WGS;mixed;Formica exsecta;;;2018-10-31T00:00:00Z;PRJNA436771;SAMN10224442;GCA_003704235.1;RCIU01000000;Centre of Excellence in Biological interactions, University of Helsinki;69;3096460;35,12858;3339;"Wolbachia endosymbiont of Formica exsecta Genome sequencing and assembly;derived from environmental source";;98,7;77,5;Low Fine consistency score;Poor;2018-11-29T08:23:21.601Z;2018-11-29T08:23:21.601Z;;;
GCA_003704325;GCA_003704325.1_ASM370432v1_genomic;373876,4;Wolbachia endosymbiont of Cimex hemipterus strain Arau;373876;WGS;Arau;Cimex hemipterus;;;2018-09-20T00:00:00Z;PRJNA308532;SAMN06458356;GCA_003704325.1;QXIM01000000;UNIVERSITI SAINS MALAYSIA;56;28394;33,851086;73;The goals are to produce microsatellite primer, analyse the population genetic structure and draft genome of Cimex hemipterus in Malaysia. A partial genome assembly of Wolbachia endosymbiont of Cimex hemipterus was also obtained from this sequencing data.;"sample_type:whole organism;collected_by:Zulaikha Zahran;identified_by:Zulaikha Zahran";95,7;95,6;"Low contig N50;Genome too short;Abnormal CDS ratio";Poor;2019-07-18T09:15:56.747Z;2019-07-18T09:15:56.747Z;;;
GCA_003999585;GCA_003999585.1_ASM399958v1_genomic;215173,58;Wolbachia endosymbiont of Bemisia tabaci strain China 1;215173;WGS;China 1;Bemisia tabaci;;;2019-01-08T00:00:00Z;PRJNA327485;SAMN05335586;GCA_003999585.1;CP016430;Zhejiang University;1;1306495;33,89951;1300;Wolbachia symbionts from whitefly Bemisia tabaci China 1 species.;sample_type:metagenomic assembly;99,3;97,2;;Good;2019-02-01T02:21:11.286Z;2019-02-01T02:21:11.286Z;;;
GCA_004795935;GCA_004795935.1_ASM479593v1_genomic;80849,5;Wolbachia endosymbiont of Brugia malayi strain TRS;80849;Complete;TRS;Brugia malayi strain TRS;;;2019-04-16T00:00:00Z;PRJNA508212;SAMN10519683;GCA_004795935.1;CP034333;New England Biolabs;1;1080064;34,177235;1582;Development of LEFT-SEQ (Large Enriched Fragment Targeted Sequencing) for Wolbachia genome assembly;"sample_type:whole organism;biomaterial_provider:FR3 ressource: TRS Labs;lab_host:Brugia malayi";99,6;98,8;;Good;2019-07-17T18:13:17.309Z;2019-07-17T18:13:17.309Z;;;
GCA_006542295;GCA_006542295.1_ASM654229v1_genomic;2591635,4;Wolbachia endosymbiont of Carposina sasakii strain wCauA;2591635;Complete;wCauA;Carposina sasakii;;;2019-07-02T00:00:00Z;PRJNA550963;SAMN12136010;GCA_006542295.1;CP041215;Institute of plant and environmrnt protection beijing academy of agriculture and forestry sciences;1;1449344;34,98721;1597;Wolbachia strain of wCauA from Carposina sasakii;sample_type:tissue sample;99,7;99,4;;Good;2019-09-30T13:52:25.535Z;2019-09-30T13:52:25.535Z;;;
GCA_008245065;GCA_008245065.1_ASM824506v1_genomic;1335053,5;Wolbachia endosymbiont of Chrysomya megacephala strain wMeg;1335053;Complete;wMeg;Chrysomya megacephala (blowfly);;;2019-09-03T00:00:00Z;PRJNA385248;SAMN06885781;GCA_008245065.1;CP021120;Nanyang Technological University;1;1376868;33,951256;1363;Complete genome sequencing of the Wolbachia endosymbiont identified in the blowfly Chrysomya megacephala;sample_type:Whole genome sequencing project;99,4;99;;Good;2019-10-02T03:19:55.414Z;2019-10-02T03:19:55.414Z;;;
GCA_009732755;GCA_009732755.1_ASM973275v1_genomic;955,36;Wolbachia pipientis strain wIrr;955;Complete;wIrr;Haematobia irritans;;;2019-12-05T00:00:00Z;PRJNA525573;SAMN11053861;GCA_009732755.1;CP037426;University of Queensland;1;1352354;35,289726;1531;Haematobia irritans, or horn fly, is a devastating hematophagous insect of agricultural livestock. Here we assemble the complete Wolbachia endosymbiont of this insect.;"sample_type:Whole organisms;collected_by:Matt Waldon";98,9;98,8;;Good;2019-12-31T17:51:32.675Z;2019-12-31T17:51:32.675Z;;;
GCA_010820705;GCA_010820705.1_ASM1082070v1_genomic;;;;;wAdent;Apterostigma dentigerum;;;;;;;;;;;;;;;;;;;;;;;
GCA_012030695;GCA_012030695.1_ASM1203069v1_genomic;;;;;wBp;Brugia pahangi;;;;;;;;;;;;;;;;;;;;;;;
GCA_012277295;GCA_012277295.1_ASM1227729v1_genomic;;;;;wCfeT;Ctenocephalides felis ;;;;;;;;;;;;;;;;;;;;;;;
GCA_012277315;GCA_012277315.1_ASM1227731v1_genomic;;;;;wCfeJ;Ctenocephalides felis ;;;;;;;;;;;;;;;;;;;;;;;
GCA_900097055;GCA_900097055.1_WBTv1_genomic;215173,57;Wolbachia endosymbiont of Bemisia tabaci strain WBT1;215173;WGS;WBT1;Bemisia tabaci;;;2018-03-31T00:00:00Z;PRJEB15492;SAMEA4462075;GCA_900097055.1;FMKF01000000;HUJI;297;1251074;33,955868;1480;Wolbachia endosymbiont of Bemisia tabaci strain wBt-MED genome shotgun assembly;;98,8;96,7;;Good;2018-05-27T23:14:01.530Z;2018-05-27T23:14:01.530Z;;;
GCA_902636315;GCA_902636315.1_WOLB0006_genomic;244204,3;uncultured Wolbachia sp. strain WOLB0006;244204;WGS;WOLB0006;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139653;GCA_902636315.1;CACPRV010000001,CACPRV010000002,CACPRV010000003,CACPRV010000004,CACPRV010000005,CACPRV010000006,CACPRV010000007;Centre for Integrative Biology (CIBIO), University of Trento;229;1197516;35,205376;1335;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;99;97,6;;Good;2020-01-01T04:46:10.730Z;2020-01-01T04:46:10.730Z;Lasioglossum albipes;Bee;A
GCA_902636325;GCA_902636325.1_WOLB0001_genomic;244204,5;uncultured Wolbachia sp. strain WOLB0001;244204;WGS;WOLB0001;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139648;GCA_902636325.1;CACPRX010000001,CACPRX010000002,CACPRX010000003,CACPRX010000004,CACPRX010000005,CACPRX010000006,CACPRX010000007;Centre for Integrative Biology (CIBIO), University of Trento;572;1445438;35,142982;1920;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;97;85,1;Low contig N50;Poor;2020-01-01T04:46:09.919Z;2020-01-01T04:46:09.919Z;Cardiocondyla obscurior;Ant;A
GCA_902636335;GCA_902636335.1_WOLB0009_genomic;244204,4;uncultured Wolbachia sp. strain WOLB0009;244204;WGS;WOLB0009;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139656;GCA_902636335.1;CACPRM010000001,CACPRM010000002,CACPRM010000003,CACPRM010000004,CACPRM010000005,CACPRM010000006,CACPRM010000007;Centre for Integrative Biology (CIBIO), University of Trento;410;1311557;35,0642;1551;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,6;95,3;Low contig N50;Poor;2020-01-01T04:46:36.586Z;2020-01-01T04:46:36.586Z;Lasioglossum albipes;Bee;A
GCA_902636345;GCA_902636345.1_WOLB0015_genomic;244204,7;uncultured Wolbachia sp. strain WOLB0015;244204;WGS;WOLB0015;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139662;GCA_902636345.1;CACPRJ010000001,CACPRJ010000002,CACPRJ010000003,CACPRJ010000004,CACPRJ010000005,CACPRJ010000006,CACPRJ010000007;Centre for Integrative Biology (CIBIO), University of Trento;107;1270844;35,095337;1330;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,7;98,2;;Good;2020-01-01T04:55:14.506Z;2020-01-01T04:55:14.506Z;Diabrotica virgifera virgifera;Beetle;A
GCA_902636355;GCA_902636355.1_WOLB0002_genomic;244204,6;uncultured Wolbachia sp. strain WOLB0002;244204;WGS;WOLB0002;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139649;GCA_902636355.1;CACPRQ010000001,CACPRQ010000002,CACPRQ010000003,CACPRQ010000004,CACPRQ010000005,CACPRQ010000006,CACPRQ010000007;Centre for Integrative Biology (CIBIO), University of Trento;166;1182984;35,132767;1278;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;99;98,9;;Good;2020-01-01T04:56:15.852Z;2020-01-01T04:56:15.852Z;Dufourea novaeangliae;Bee;A
GCA_902636365;GCA_902636365.1_WOLB0014_genomic;244204,12;uncultured Wolbachia sp. strain WOLB0014;244204;WGS;WOLB0014;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139661;GCA_902636365.1;CACPRG010000001,CACPRG010000002,CACPRG010000003,CACPRG010000004,CACPRG010000005,CACPRG010000006,CACPRG010000007;Centre for Integrative Biology (CIBIO), University of Trento;126;1301065;35,379555;1403;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,7;97;;Good;2020-01-01T04:49:12.578Z;2020-01-01T04:49:12.578Z;Diabrotica virgifera virgifera;Beetle;A
GCA_902636375;GCA_902636375.1_WOLB0005_genomic;244204,11;uncultured Wolbachia sp. strain WOLB0005;244204;WGS;WOLB0005;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139652;GCA_902636375.1;CACPRR010000001,CACPRR010000002,CACPRR010000003,CACPRR010000004,CACPRR010000005,CACPRR010000006,CACPRR010000007;Centre for Integrative Biology (CIBIO), University of Trento;222;1191137;35,07086;1347;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,8;97;;Good;2020-01-01T04:50:14.615Z;2020-01-01T04:50:14.615Z;Dufourea novaeangliae;Bee;A
GCA_902636385;GCA_902636385.1_WOLB0017_genomic;244204,9;uncultured Wolbachia sp. strain WOLB0017;244204;WGS;WOLB0017;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139664;GCA_902636385.1;CACPRL010000001,CACPRL010000002,CACPRL010000003,CACPRL010000004,CACPRL010000005,CACPRL010000006,CACPRL010000007;Centre for Integrative Biology (CIBIO), University of Trento;108;1271482;35,09149;1336;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,6;98,1;;Good;2020-01-01T04:49:48.049Z;2020-01-01T04:49:48.049Z;Diabrotica virgifera virgifera;Beetle;A
GCA_902636395;GCA_902636395.1_WOLB0012_genomic;244204,1;uncultured Wolbachia sp. strain WOLB0012;244204;WGS;WOLB0012;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139659;GCA_902636395.1;CACPRP010000001,CACPRP010000002,CACPRP010000003,CACPRP010000004,CACPRP010000005,CACPRP010000006,CACPRP010000007;Centre for Integrative Biology (CIBIO), University of Trento;163;1232261;35,95253;1325;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,3;97,6;;Good;2020-01-01T04:50:14.165Z;2020-01-01T04:50:14.165Z;Osmia caerulescens source_sample_wOc;Bee;F
GCA_902636405;GCA_902636405.1_WOLB0011_genomic;244204,8;uncultured Wolbachia sp. strain WOLB0011;244204;WGS;WOLB0011;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139658;GCA_902636405.1;CACPRO010000001,CACPRO010000002,CACPRO010000003,CACPRO010000004,CACPRO010000005,CACPRO010000006,CACPRO010000007;Centre for Integrative Biology (CIBIO), University of Trento;441;1344570;35,051132;1587;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,3;94,1;Low contig N50;Poor;2020-01-01T04:49:48.501Z;2020-01-01T04:49:48.501Z;Lasioglossum albipes;Bee;A
GCA_902636415;GCA_902636415.1_WOLB0008_genomic;244204,14;uncultured Wolbachia sp. strain WOLB0008;244204;WGS;WOLB0008;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139655;GCA_902636415.1;CACPRU010000001,CACPRU010000002,CACPRU010000003,CACPRU010000004,CACPRU010000005,CACPRU010000006,CACPRU010000007;Centre for Integrative Biology (CIBIO), University of Trento;302;1238675;35,124065;1434;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,4;96,6;;Good;2020-01-01T04:55:34.927Z;2020-01-01T04:55:34.927Z;Lasioglossum albipes;Bee;A
GCA_902636425;GCA_902636425.1_WOLB0016_genomic;244204,13;uncultured Wolbachia sp. strain WOLB0016;244204;WGS;WOLB0016;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139663;GCA_902636425.1;CACPRK010000001,CACPRK010000002,CACPRK010000003,CACPRK010000004,CACPRK010000005,CACPRK010000006,CACPRK010000007;Centre for Integrative Biology (CIBIO), University of Trento;102;1277304;35,083035;1345;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,7;97,9;;Good;2020-01-01T04:56:10.439Z;2020-01-01T04:56:10.439Z;Diabrotica virgifera virgifera;Beetle;A
GCA_902636435;GCA_902636435.1_WOLB0010_genomic;244204,16;uncultured Wolbachia sp. strain WOLB0010;244204;WGS;WOLB0010;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139657;GCA_902636435.1;CACPRT010000001,CACPRT010000002,CACPRT010000003,CACPRT010000004,CACPRT010000005,CACPRT010000006,CACPRT010000007;Centre for Integrative Biology (CIBIO), University of Trento;446;1321318;35,0606;1598;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;97,8;93,6;Low contig N50;Poor;2020-01-01T04:54:53.117Z;2020-01-01T04:54:53.117Z;Lasioglossum albipes;Bee;A
GCA_902636445;GCA_902636445.1_WOLB0004_genomic;244204,15;uncultured Wolbachia sp. strain WOLB0004;244204;WGS;WOLB0004;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139651;GCA_902636445.1;CACPRS010000001,CACPRS010000002,CACPRS010000003,CACPRS010000004,CACPRS010000005,CACPRS010000006,CACPRS010000007;Centre for Integrative Biology (CIBIO), University of Trento;170;1204206;35,063354;1293;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,7;98,3;;Good;2020-01-01T04:54:53.621Z;2020-01-01T04:54:53.621Z;Dufourea novaeangliae;Bee;A
GCA_902636455;GCA_902636455.1_WOLB0007_genomic;244204,2;uncultured Wolbachia sp. strain WOLB0007;244204;WGS;WOLB0007;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139654;GCA_902636455.1;CACPRW010000001,CACPRW010000002,CACPRW010000003,CACPRW010000004,CACPRW010000005,CACPRW010000006,CACPRW010000007;Centre for Integrative Biology (CIBIO), University of Trento;329;1300393;35,11277;1494;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;96,8;;Good;2020-01-01T04:55:14.046Z;2020-01-01T04:55:14.046Z;Lasioglossum albipes;Bee;A
GCA_902636465;GCA_902636465.1_WOLB0003_genomic;244204,1168;uncultured Wolbachia sp. strain WOLB0003;244204;WGS;WOLB0003;;;;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139650;GCA_902636465.1;CACPRH010000001,CACPRH010000002,CACPRH010000003,CACPRH010000004,CACPRH010000005,CACPRH010000006,CACPRH010000007;Centre for Integrative Biology (CIBIO), University of Trento;167;1191551;35,12548;1276;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;99;99;;Good;2020-02-02T18:03:07.193Z;2020-02-02T18:03:07.193Z;Dufourea novaeangliae;Bee;A
